name,price
,
4x8x16 Concrete Block Coosals,6.75
4x8x16 Concrete Blocks 162 Pallet Coosals,"1,093.50"
6x8x16 Concrete Block Coosal,8.85
6x8x16 Concrete Blocks 144 Pallet,"1,274.40"
8x8x16 Concrete Block Coosal,10
8x8x16 Concrete Blocks 90 Pallet Coosal,900
Arcadian (BOW TIE),8.95
Column Block,7.95
Concrete Mix,42
Finish TecGypsum 1 Gallon Compound,70.95
Gypsum 1/2`` Board,102.95
Gypsum 5 Gallon Compound,212
Gypsum C-Channel,50
Gypsum Corner Bead,43.95
Gypsum Drywall Angle,18
Gypsum Drywall Stud (HOLE),43.95
Gypsum Drywall Track (NO HOLE),43.95
Gypsum Furring Channel,36.95
Gypsum Moisture Board,135
Gypsum Plastic Corner Bead,14.95
Harliquin (EGG),7.5
Hollow Clay Red Block,6.1
Hollow Clay Red Blocks 312 Pallet,"1,800.00"
Loose Cement 1LB,1.5
Louver Block,12.95
Pavers Block,6
Plaster Mix,42
Premium Thinset (Micro Milling),93
Regular Thinset (Micro Milling),50
TCL CEMENT ECO,63
TCL CEMENT Premium Plus,67
TCL Premium Plus Cement Cash/Linx,63
Wheel Barrow Imacasa Red,400
Wheel Barrow Normal Black,541.95
Wheel Barrow Toolcraft,475
Wheel Barrow Tramontina,585
TCL Cement Premium,67.0
Loose cement per lb,1.5
A142 mesh sheet,350
