Item Name,Selling
,
Cement Board 1/2``,270.95
Cement Board 3/8``,258.95
Construction Ply 1/2``,216.95
Construction Ply 3/4``,296.95
Construction Ply 5/8``,266.95
Groove Ply 1/2`` Treated,400
Hard Board 1/8``,89.95
Lumber 1X10X10` D.P.P Treated,182.95
Lumber 1X10X10` R.P.P,159.95
Lumber 1X10X12` R.P.P,175
Lumber 1X10X14` R.P.P,255.95
Lumber 1X10X16` R.P.P,292.5
LUMBER 1X12X10 W.P.,248.95
Lumber 1X12X10` D.P.P,225
Lumber 1X12X10` R.P.P,225
Lumber 1X12X12 D.P.P,202.95
LUMBER 1X12X12 W.P.,298.95
Lumber 1X12X12` R.P.P,201.95
Lumber 1X12X14` D.P.P,259.95
Lumber 1X12X14` R.P.P,235.95
LUMBER 1X12X16 W.P.,224.95
Lumber 1x12x16` R.P.P,269.95
Lumber 1X3X10` W.P,39.95
Lumber 1X3X12` W.P,47.95
Lumber 1x3x8` W.P,29.95
Lumber 1X4X10` D.P.P,74.95
Lumber 1X4X10` R.P.P,51.95
Lumber 1X4X12` D.P.P,81.95
Lumber 1X4X12` R.P.P,64.95
Lumber 1X4X12` RT,81.95
Lumber 1X4X14`,72
Lumber 1X4X16` D.P.P,115
Lumber 1X4X16` R.P.P GREEN,105.95
Lumber 1X6X10` D.P.P,69.95
Lumber 1X6X12` D.P.P,83.95
Lumber 1X6X14` D.P.P,68.95
Lumber 1X6X16` D.P.P,77.95
Lumber 1X6X16` R.P.P,180
Lumber 1X8X12` D.P.P,129.95
Lumber 2X2X10` R.P.P,58.95
Lumber 2X2X12` R.P.P,58.95
LUMBER 2X2X14 R.P.P,81.95
Lumber 2X2X16` R.P.P,93.95
Lumber 2X4X10` D.P.P,102.95
Lumber 2X4X10` R.P.P,97.95
Lumber 2X4X12` D.P.P,117.95
Lumber 2X4X12` R.P.P,117
Lumber 2X4X14` D.P.P,163.95
Lumber 2X4X14` R.P.P,136.95
Lumber 2x4x16` D.P.P,168.95
Lumber 2x4x16` R.P.P,165.95
Lumber 2x6x10` D.P.P,240
Lumber 2x6x10` R.P.P,220
Lumber 2X6X12` D.P.P,163.95
Lumber 2X6X12` R.P.P,126.95
Lumber 2X6X14` D.P.P,136.95
Lumber 4X4X10` D.P.P,114.95
Lumber 4X4X10` R.P.P,300
Lumber 4X4X14` D.P.P,236.95
MDF 1/2``,194.95
MDF 5/8``,235
Melamine 1/2`` White,255.95
Melamine 1/4`` White,169.95
Melamine 5/8`` White,285.95
Moulding Strips 1/2`` Round 10`,36
Moulding Strips 1/2`` Round 8`,28
Moulding Strips 1/4`` Round 10`,22
Moulding Strips Cedar,18.95
Moulding Strips Cedar Groove,23.95
Moulding Strips MLD 1,73.95
Moulding Strips MLD 10,43.95
Moulding Strips MLD 11,73.95
Moulding Strips MLD 12,73.95
Moulding Strips MLD 13,138.95
Moulding Strips MLD 14,146.95
Moulding Strips MLD 15,110.95
Moulding Strips MLD 16,58.95
Moulding Strips MLD 2,73.95
Moulding Strips MLD 3,73.95
Moulding Strips MLD 4,73.95
Moulding Strips MLD 5,80.95
Moulding Strips MLD 6,73.95
Moulding Strips MLD 7,73.95
Moulding Strips MLD 8,109.95
Moulding Strips MLD 9,43.95
Moulding Strips P.P Flat,25.95
Moulding Strips P.P Groove,29.95
Plain Ply 1/2``,295.95
Plain Ply 1/4``,175.95
Plain Ply 3/8``,197.95
Plain Ply 5/8``,305
PVC Board 1/4``,179.95
